 Burst #, T_1^1, T_2^1, T_3^1, T_4^1, ... , T_1^n, T_2^n, T_3^n, T_4^n, (where n<=8 is the number of successful messages) 
1,3888422874s 0.0001288009807 ns,3888422874 s 0.04050992499 ns,3888422874 s 0.04051127494 ns,3888422874 s 0.02155126981 ns,3888422881s 0.9978671959 ns,3888422882 s 0.038803312 ns,3888422882 s 0.03880465077 ns,3888422882 s 0.02430250193 ns,3888422889s 0.999948527 ns,3888422890 s 0.03986968892 ns,3888422890 s 0.03987103584 ns,3888422890 s 0.02604175382 ns,3888422897s 0.9970744629 ns,3888422898 s 0.03843242885 ns,3888422898 s 0.03843381186 ns,3888422898 s 0.02039809478 ns,3888422906s 0.0008430329617 ns,3888422906 s 0.04081152799 ns,3888422906 s 0.04081288399 ns,3888422906 s 0.01891965093 ns,3888422913s 0.9973920849 ns,3888422914 s 0.03005141183 ns,3888422914 s 0.03005274083 ns,3888422914 s 0.01097113197 ns,3888422921s 0.9998933019 ns,3888422922 s 0.03274192777 ns,3888422922 s 0.03274330497 ns,3888422922 s 0.01603576099 ns,3888422930s 0.0008638969157 ns,3888422930 s 0.0318827969 ns,3888422930 s 0.03188418085 ns,3888422930 s 0.0989067459 ns
2,3888423129s 0.9968217718 ns,3888423130 s 0.02902084985 ns,3888423130 s 0.0290222608 ns,3888423130 s 0.009871434886 ns,3888423137s 0.996825991 ns,3888423138 s 0.03069432196 ns,3888423138 s 0.03069566586 ns,3888423138 s 0.01010548486 ns,3888423145s 0.9992651318 ns,3888423146 s 0.03017914481 ns,3888423146 s 0.03018039581 ns,3888423146 s 0.007562239887 ns,3888423153s 0.9964375878 ns,3888423154 s 0.02739760093 ns,3888423154 s 0.02739891084 ns,3888423154 s 0.00441865297 ns,3888423162s 0.000616857782 ns,3888423162 s 0.03166394983 ns,3888423162 s 0.03166532284 ns,3888423162 s 0.01505849184 ns,3888423169s 0.9999913359 ns,3888423170 s 0.03089393093 ns,3888423170 s 0.03089520684 ns,3888423170 s 0.007122228853 ns,3888423178s 0.0006986127701 ns,3888423178 s 0.03231038689 ns,3888423178 s 0.03231191193 ns,3888423178 s 0.01000967086 ns,3888423186s 0.0008940948173 ns,3888423186 s 0.03186206683 ns,3888423186 s 0.03186339489 ns,3888423186 s 0.00802965695 ns
3,3888423393s 0.9964275348 ns,3888423394 s 0.02022089693 ns,3888423394 s 0.02022231696 ns,3888423394 s 0.004653961863 ns,3888423417s 0.9998840969 ns,3888423418 s 0.0236949448 ns,3888423418 s 0.02369633783 ns,3888423418 s 0.009298191871 ns,3888423434s 0.0007202217821 ns,3888423434 s 0.02315578982 ns,3888423434 s 0.02315711183 ns,3888423434 s 0.009057959775 ns,3888423465s 0.9993014829 ns,3888423466 s 0.02085279487 ns,3888423466 s 0.02085411083 ns,3888423466 s 0.007770742988 ns,3888423474s 0.0006356968079 ns,3888423474 s 0.02181005478 ns,3888423474 s 0.02181143383 ns,3888423474 s 0.00939690182 ns,3888423489s 0.995177415 ns,3888423490 s 0.01591218286 ns,3888423490 s 0.01591350278 ns,3888423490 s 0.008165387902 ns,3888423497s 0.9966862109 ns,3888423498 s 0.01906736079 ns,3888423498 s 0.01906870888 ns,3888423498 s 0.00967700989 ns,3888423481s 0.9994272268 ns,3888423482 s 0.02033917978 ns,3888423482 s 0.02034045383 ns,3888423482 s 0.007923732977 ns
4,3888423665s 0.9969748149 ns,3888423666 s 0.01281498093 ns,3888423666 s 0.01281627384 ns,3888423666 s 0.005431724945 ns,3888423673s 0.995627261 ns,3888423674 s 0.01167960279 ns,3888423674 s 0.01168091199 ns,3888423674 s 0.008591372985 ns,3888423681s 0.9963072329 ns,3888423682 s 0.01378643489 ns,3888423682 s 0.01378772384 ns,3888423682 s 0.00956298993 ns,3888423689s 0.9993531399 ns,3888423690 s 0.01475805277 ns,3888423690 s 0.01475933078 ns,3888423690 s 0.01264498685 ns,3888423706s 0.0007117609493 ns,3888423706 s 0.01584479189 ns,3888423706 s 0.01584609691 ns,3888423706 s 0.009792454774 ns,3888423713s 0.999142322 ns,3888423714 s 0.01389293699 ns,3888423714 s 0.013894259 ns,3888423714 s 0.03328269487 ns,3888423721s 0.9968573158 ns,3888423722 s 0.01135840383 ns,3888423722 s 0.01135965693 ns,3888423722 s 0.005083252909 ns,3888423729s 0.9997908399 ns,3888423730 s 0.0262712799 ns,3888423730 s 0.02627272182 ns,3888423730 s 0.135456648 ns
5,3888423897s 0.9991998749 ns,3888423898 s 0.011526566 ns,3888423898 s 0.01152789593 ns,3888423898 s 0.009229633957 ns,3888423905s 0.9996187929 ns,3888423906 s 0.010488156 ns,3888423906 s 0.01048946381 ns,3888423906 s 0.00842310884 ns,3888423913s 0.9969805679 ns,3888423914 s 0.007943007862 ns,3888423914 s 0.007944317767 ns,3888423914 s 0.006867331918 ns,3888423921s 0.9972716339 ns,3888423922 s 0.007936960785 ns,3888423922 s 0.007938321913 ns,3888423922 s 0.01375408284 ns,3888423938s 0.000304147834 ns,3888423938 s 0.01072376478 ns,3888423938 s 0.01072506281 ns,3888423938 s 0.009365915786 ns,3888423946s 0.0001857539173 ns,3888423946 s 0.01055051177 ns,3888423946 s 0.01055182982 ns,3888423946 s 0.008999790996 ns,3888423962s 5.899183452e-05 ns,3888423962 s 0.01008452079 ns,3888423962 s 0.01008591382 ns,3888423962 s 0.01814025897 ns,3888423954s 0.0007614239585 ns,3888423954 s 0.01076290477 ns,3888423954 s 0.01076459 ns,3888423954 s 0.009681820869 ns
6,3888424153s 0.999518615 ns,3888424154 s 0.007394666784 ns,3888424154 s 0.007396043977 ns,3888424154 s 0.008966611931 ns,3888424186s 6.180885248e-05 ns,3888424186 s 0.006826101802 ns,3888424186 s 0.006827486912 ns,3888424186 s 0.008815870853 ns,3888424194s 0.0004963448737 ns,3888424194 s 0.007646358805 ns,3888424194 s 0.007647755789 ns,3888424194 s 0.0105190638 ns,3888424218s 0.001066776924 ns,3888424218 s 0.007200419903 ns,3888424218 s 0.007201911882 ns,3888424218 s 0.00968650193 ns,3888424226s 0.0006612229627 ns,3888424226 s 0.007249013986 ns,3888424226 s 0.007250483846 ns,3888424226 s 0.008943619905 ns,3888424241s 0.999481916 ns,3888424242 s 0.005164884962 ns,3888424242 s 0.005166224902 ns,3888424242 s 0.007916028844 ns,3888424257s 0.999278415 ns,3888424258 s 0.004652671982 ns,3888424258 s 0.004654087825 ns,3888424258 s 0.01669385098 ns,3888424265s 0.9991381238 ns,3888424266 s 0.004311421886 ns,3888424266 s 0.004312785808 ns,3888424266 s 0.006165807834 ns
7,3888424410s 0.003248925786 ns,3888424410 s 0.008207405917 ns,3888424410 s 0.008208706975 ns,3888424410 s 0.03061226686 ns,3888424417s 0.996804022 ns,3888424418 s 0.001184626948 ns,3888424418 s 0.001185901929 ns,3888424418 s 0.006142507773 ns,3888424425s 0.9992560248 ns,3888424426 s 0.002655311953 ns,3888424426 s 0.002656672848 ns,3888424426 s 0.009446428856 ns,3888424433s 0.996152187 ns,3888424433 s 0.9999739479 ns,3888424433 s 0.9999753439 ns,3888424434 s 0.004178555915 ns,3888424441s 0.9996478909 ns,3888424442 s 0.002891032957 ns,3888424442 s 0.002892489778 ns,3888424442 s 0.007754050894 ns,3888424450s 0.0005865697749 ns,3888424450 s 0.006367607974 ns,3888424450 s 0.00636892789 ns,3888424450 s 0.0134579218 ns,3888424457s 0.9995906679 ns,3888424458 s 0.002831597812 ns,3888424458 s 0.00283307978 ns,3888424458 s 0.008584951982 ns,3888424465s 0.9996226269 ns,3888424466 s 0.002667481778 ns,3888424466 s 0.002668810776 ns,3888424466 s 0.009305279935 ns
8,3888424666s 0.0003744238056 ns,3888424666 s 0.004556650994 ns,3888424666 s 0.004557939945 ns,3888424666 s 0.02162259887 ns,3888424673s 0.9993716099 ns,3888424674 s 0.01011275384 ns,3888424674 s 0.01011410193 ns,3888424674 s 0.02837878792 ns,3888424690s 0.002292615827 ns,3888424690 s 0.003727082862 ns,3888424690 s 0.003728425829 ns,3888424690 s 0.01466992777 ns,3888424705s 0.9960466088 ns,3888424705 s 0.9977656298 ns,3888424705 s 0.9977669059 ns,3888424706 s 0.00988317281 ns,3888424713s 0.9956586228 ns,3888424713 s 0.9981038158 ns,3888424713 s 0.9981051488 ns,3888424714 s 0.004660949809 ns,3888424729s 0.9954283398 ns,3888424729 s 0.9997601949 ns,3888424729 s 0.9997616599 ns,3888424730 s 0.009717080975 ns,3888424737s 0.9962213398 ns,3888424737 s 0.9979709368 ns,3888424737 s 0.997972301 ns,3888424738 s 0.009973702952 ns,3888424721s 0.9960000359 ns,3888424721 s 0.9968222938 ns,3888424721 s 0.996823692 ns,3888424722 s 0.004712054972 ns
9,3888424921s 0.9967684189 ns,3888424921 s 0.9961469518 ns,3888424921 s 0.996148282 ns,3888424922 s 0.006846557837 ns,3888424929s 0.999483021 ns,3888424929 s 0.9984001699 ns,3888424929 s 0.9984014609 ns,3888424930 s 0.008126294939 ns,3888424938s 0.0001739859581 ns,3888424937 s 0.9988208089 ns,3888424937 s 0.998822168 ns,3888424938 s 0.008236634778 ns,3888424961s 0.996842376 ns,3888424961 s 0.9950882259 ns,3888424961 s 0.995089476 ns,3888424962 s 0.004833077779 ns,3888424970s 0.000165713951 ns,3888424970 s 0.001333318884 ns,3888424970 s 0.001334572909 ns,3888424970 s 0.01326627377 ns,3888424985s 0.9996116098 ns,3888424986 s 0.0007022249047 ns,3888424986 s 0.00070352084 ns,3888424986 s 0.01648463588 ns,3888425010s 0.0003044628538 ns,3888425009 s 0.9982404639 ns,3888425009 s 0.9982416839 ns,3888425010 s 0.009359450778 ns,3888425018s 0.00607808982 ns,3888425018 s 0.003954157932 ns,3888425018 s 0.003955422901 ns,3888425018 s 0.01388796093 ns
10,3888425185s 0.9952961188 ns,3888425185 s 0.9917221058 ns,3888425185 s 0.9917234448 ns,3888425186 s 0.003208680777 ns,3888425193s 0.9962267778 ns,3888425193 s 0.9925370719 ns,3888425193 s 0.992538326 ns,3888425194 s 0.004713150905 ns,3888425201s 0.9956281038 ns,3888425201 s 0.9928937019 ns,3888425201 s 0.9928949899 ns,3888425202 s 0.02633344289 ns,3888425209s 0.9963905788 ns,3888425209 s 0.993090333 ns,3888425209 s 0.993091689 ns,3888425210 s 0.008570101811 ns,3888425217s 0.9954330919 ns,3888425217 s 0.9916211048 ns,3888425217 s 0.9916225008 ns,3888425218 s 0.005166163901 ns,3888425225s 0.996655477 ns,3888425225 s 0.9931306639 ns,3888425225 s 0.9931319568 ns,3888425226 s 0.01740366686 ns,3888425241s 0.9970772278 ns,3888425241 s 0.9929912528 ns,3888425241 s 0.9929925869 ns,3888425242 s 0.005745633971 ns,3888425233s 0.9969143318 ns,3888425233 s 0.994520874 ns,3888425233 s 0.9945221809 ns,3888425234 s 0.007589358836 ns
